Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,distance,hour_of_day,weekday,Delivery_Time
27,5.0,Stormy,Jam ,motorcycle ,Urban ,0.04242640687119446,20,1,90
35,4.3,Cloudy,Low ,scooter ,Metropolitian ,0.12727922061357083,23,5,190
32,4.0,Windy,Jam ,motorcycle ,Metropolitian ,0.12727922061358088,21,2,235
23,4.8,Windy,Low ,van,Urban ,0.15556349186104218,23,5,60
31,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,0.0424264068711932,22,4,130
36,4.1,Stormy,Low ,motorcycle ,Urban ,0.07071067811865074,22,5,110
26,4.3,Sandstorms,Low ,motorcycle ,Urban ,0.07071067811865325,23,4,105
38,4.9,Cloudy,High ,scooter ,Urban ,0.056568542494928875,13,4,125
32,3.5,Stormy,Jam ,scooter ,Urban ,0.15556349186104046,21,1,35
32,4.6,Cloudy,Low ,scooter ,Metropolitian ,0.18384847021664016,22,5,150
33,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,0.09899494936611203,18,1,110
20,4.7,Windy,High ,scooter ,Urban ,0.05656854249492762,14,6,50
20,4.8,Sandstorms,Low ,scooter ,Metropolitian ,0.014142135623725625,11,2,95
35,5.0,Sunny,Low ,scooter ,Urban ,0.028284271247461298,9,4,55
26,4.9,Stormy,Low ,scooter ,Metropolitian ,0.028284271247460042,8,0,55
22,4.8,Fog,Low ,motorcycle ,Metropolitian ,0.09899494936611203,23,4,140
35,4.3,Cloudy,Medium ,motorcycle ,Metropolitian ,0.09899494936612209,17,0,33
37,4.7,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.12727922061358088,19,0,260
28,4.6,Stormy,Jam ,scooter ,Metropolitian ,0.15556349186103965,19,1,110
37,4.9,Fog,Low ,scooter ,Urban ,0.028284271247468833,10,6,16
23,4.9,Sunny,Jam ,van,Metropolitian ,0.0848528137423864,21,3,55
27,4.9,Windy,Medium ,scooter ,Metropolitian ,0.08485281374238766,19,5,125
37,4.8,Cloudy,Medium ,motorcycle ,Urban ,0.056568542494928875,16,2,130
33,5.0,Sunny,High ,scooter ,Metropolitian ,0.014142135623733162,11,5,90
31,4.9,Fog,Medium ,motorcycle ,Metropolitian ,0.05656854249491757,15,6,80
31,4.8,Stormy,Low ,scooter ,Metropolitian ,0.1555634918610409,22,4,115
25,5.0,Cloudy,Low ,motorcycle ,Metropolitian ,0.042426406871192854,22,6,75
28,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.11313708498984645,20,0,180
31,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,0.08485281374238891,22,5,80
24,4.7,Sunny,Medium ,motorcycle ,Urban ,0.12727922061358088,17,3,95
39,4.6,Sunny,Low ,motorcycle ,Metropolitian ,0.12727922061358088,22,0,135
39,4.2,Fog,Jam ,scooter ,Semi-Urban ,0.1131370849898476,20,2,245
32,4.5,Windy,Low ,scooter ,Other,0.014142135623725625,9,5,100
36,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,0.08485281374238571,20,6,150
25,4.8,Sandstorms,Low ,scooter ,Urban ,0.1131370849898477,22,1,90
33,4.9,Sunny,Jam ,scooter ,Metropolitian ,0.0424264068711932,21,2,110
30,4.4,Cloudy,Low ,scooter ,Metropolitian ,0.09899494936611203,22,5,170
33,5.0,Sandstorms,Low ,motorcycle ,Urban ,0.15556349186103965,23,3,120
36,4.9,Fog,Medium ,scooter ,Metropolitian ,0.05656854249491757,15,3,85
21,4.8,Sandstorms,Low ,van,Metropolitian ,0.028284271247468833,10,1,70
39,4.9,Stormy,Jam ,motorcycle ,Metropolitian ,0.07071067811865074,20,1,150
23,4.8,Stormy,Low ,scooter ,Metropolitian ,0.0282842712474619,10,0,15
35,4.8,Fog,Medium ,scooter ,Urban ,0.0565685424949238,15,0,80
39,4.6,Cloudy,Jam ,scooter ,Metropolitian ,0.12727922061358088,20,2,180
22,4.7,Sunny,High ,scooter ,Urban ,0.05656854249493013,12,3,90
32,4.6,Fog,Medium ,scooter ,Metropolitian ,0.056568542494920084,15,1,85
24,4.8,Sandstorms,Low ,motorcycle ,Urban ,0.1131370849898476,22,4,75
29,4.7,Fog,Low ,motorcycle ,Metropolitian ,0.0282842712474619,10,2,85
26,4.7,Fog,Low ,motorcycle ,Metropolitian ,0.0848528137423864,23,5,50
20,4.5,Fog,Jam ,motorcycle ,Metropolitian ,0.07071067811865477,21,4,135
35,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.12727922061358088,20,5,185
39,4.6,Fog,Jam ,scooter ,Metropolitian ,0.12727922061358088,20,1,220
34,4.7,Windy,High ,van,Metropolitian ,0.056568542494920084,12,5,140
27,4.7,Cloudy,Jam ,scooter ,Metropolitian ,0.1555634918610409,21,3,210
30,4.8,Windy,Low ,motorcycle ,Metropolitian ,0.15556349186104046,23,2,125
25,4.4,Cloudy,Medium ,scooter ,Metropolitian ,0.15556349186105095,18,6,195
25,4.7,Stormy,Medium ,motorcycle ,Urban ,0.15556349186103965,18,6,100
30,5.0,Stormy,High ,motorcycle ,Metropolitian ,0.028284271247458786,11,3,155
24,4.6,Stormy,Jam ,motorcycle ,Metropolitian ,0.0848528137423864,20,2,65
39,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,0.07071067811865325,21,3,140
25,4.8,Windy,High ,scooter ,Urban ,0.05656854249491883,12,1,95
37,4.6,Fog,Low ,motorcycle ,Urban ,0.11313708498985524,23,4,210
24,5.0,Fog,Low ,motorcycle ,Metropolitian ,0.014142135623734417,10,1,115
25,4.2,Stormy,Jam ,motorcycle ,Metropolitian ,0.1555634918610497,21,2,195
32,4.6,Stormy,Low ,motorcycle ,Metropolitian ,0.014142135623725625,10,4,125
34,4.7,Sandstorms,Low ,scooter ,Metropolitian ,54.39665103955606,23,2,75
38,4.9,Cloudy,Low ,scooter ,Urban ,0.028284271247458786,8,4,75
36,4.8,Sunny,Medium ,van,Metropolitian ,0.12727922061358088,17,0,75
25,5.0,Stormy,Jam ,motorcycle ,Metropolitian ,0.15556349186103965,20,4,75
29,5.0,Sunny,Low ,motorcycle ,Metropolitian ,0.07071067811865325,22,4,90
36,4.7,Sandstorms,Low ,van,Metropolitian ,0.12727922061358088,23,0,145
33,4.7,Fog,Low ,motorcycle ,Metropolitian ,0.07071067811865325,23,4,100
36,4.4,Cloudy,High ,scooter ,Metropolitian ,0.05656854249492762,12,6,195
21,4.8,Windy,Low ,motorcycle ,Metropolitian ,0.1555634918610497,23,4,95
25,4.8,Cloudy,Low ,scooter ,Urban ,0.042426406871191945,23,5,19
23,4.8,Windy,Low ,motorcycle ,Metropolitian ,0.18384776310849843,22,2,85
25,4.6,Stormy,Low ,motorcycle ,Urban ,0.014142135623734417,10,1,75
24,4.3,Sandstorms,Low ,motorcycle ,Urban ,0.028284271247458786,8,1,95
27,4.6,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.12727922061358088,21,4,145
23,4.8,Cloudy,Low ,scooter ,Urban ,0.15556349186104218,22,4,110
21,4.3,Fog,Jam ,scooter ,Metropolitian ,0.1838477631084997,20,2,210
27,4.7,Sandstorms,Low ,scooter ,Urban ,0.028284271247468833,10,1,60
32,4.2,Cloudy,Jam ,motorcycle ,Metropolitian ,0.1838477631084997,20,1,190
25,4.6,Sunny,Low ,motorcycle ,Metropolitian ,0.15556349186103965,23,3,115
39,4.7,Cloudy,Low ,scooter ,Metropolitian ,0.028284271247458786,10,4,75
27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,0.11313708498984519,23,0,120
39,3.8,Windy,Jam ,motorcycle ,Metropolitian ,0.15556349186103965,19,2,185
31,4.8,Sandstorms,Low ,scooter ,Metropolitian ,0.07071067811865325,22,1,120
31,4.8,Sunny,Low ,van,Metropolitian ,0.08485281374238891,23,1,65
20,4.8,Cloudy,Low ,motorcycle ,Other,0.014142135623724367,9,2,80
36,4.9,Cloudy,Medium ,motorcycle ,Urban ,0.11313708498984519,18,2,210
20,4.9,Sandstorms,Low ,motorcycle ,Metropolitian ,0.12727922061358088,22,6,85
24,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,0.04242711398386632,20,6,125
39,4.2,Fog,Medium ,scooter ,Metropolitian ,0.15556349186103965,18,1,195
37,4.8,Sunny,High ,scooter ,Metropolitian ,0.05656854249491883,14,3,90
32,4.9,Sandstorms,Medium ,motorcycle ,Metropolitian ,0.056568542494928875,16,3,140
22,4.5,Sandstorms,Low ,scooter ,Metropolitian ,0.07071067811866079,22,1,90
23,4.9,Windy,Low ,scooter ,Metropolitian ,0.1838477631084997,0,4,90
33,4.7,Fog,Jam ,scooter ,Metropolitian ,0.15556349186103965,21,1,245
23,,Sunny,Low ,motorcycle ,Metropolitian ,0.042426406871191945,23,3,75
27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,0.11313708498984645,23,3,105
34,4.7,Sunny,High ,scooter ,Metropolitian ,0.056568542494920084,14,1,115
26,5.0,Fog,Low ,scooter ,Urban ,0.014142135623735673,10,6,55
31,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,0.0848528137423864,21,3,125
32,4.9,Fog,Low ,motorcycle ,Metropolitian ,0.028284271247458786,8,0,90
27,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,0.028284271247458786,9,2,70
21,4.9,Windy,Medium ,motorcycle ,Metropolitian ,0.12727922061358088,17,5,180
28,4.8,Fog,Low ,motorcycle ,Metropolitian ,0.0707106781186633,23,3,90
24,4.9,Fog,Medium ,scooter ,Urban ,0.0565685424949238,16,2,85
33,4.4,Sandstorms,Low ,motorcycle ,Metropolitian ,0.014142135623735673,8,5,140
20,4.6,Fog,Jam ,motorcycle ,Metropolitian ,0.12727922061357083,20,4,220
31,4.3,Windy,Low ,motorcycle ,Metropolitian ,0.08485281374238766,23,6,100
36,5.0,Fog,Jam ,motorcycle ,Metropolitian ,0.09899494936611203,19,3,175
31,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.1555634918610409,21,2,50
39,4.1,Stormy,Jam ,scooter ,Metropolitian ,0.0848528137423864,21,3,170
29,4.6,Sunny,Jam ,van,Metropolitian ,0.11313708498984519,19,5,85
29,4.6,Sandstorms,High ,scooter ,Urban ,0.05656854249492762,14,3,115
37,4.9,Fog,Medium ,motorcycle ,Metropolitian ,0.04242640687119446,18,2,135
33,4.7,Cloudy,High ,motorcycle ,Urban ,0.0565685424949238,12,3,130
31,3.9,Cloudy,Low ,scooter ,Metropolitian ,0.09899494936612209,23,4,175
37,4.6,Windy,High ,motorcycle ,Urban ,0.0565685424949238,12,5,205
26,4.4,Sandstorms,Low ,motorcycle ,Other,0.08485281374238766,23,0,115
24,4.6,Stormy,Medium ,motorcycle ,Metropolitian ,0.15556349186103965,17,4,150
23,4.8,Windy,Low ,scooter ,Metropolitian ,0.0282842712474619,10,6,95
36,4.9,Windy,Low ,scooter ,Metropolitian ,0.01414213562373095,9,4,135
39,4.8,Cloudy,High ,motorcycle ,Metropolitian ,0.056568542494928875,12,4,140
20,4.7,Sandstorms,Medium ,motorcycle ,Metropolitian ,0.11313708498984645,17,6,120
20,5.0,Cloudy,Jam ,motorcycle ,Urban ,0.18384776310850975,19,3,180
29,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,0.08485281374238891,23,6,140
36,4.8,Fog,Medium ,motorcycle ,Urban ,0.15556349186103965,18,1,155
36,4.0,Sunny,Jam ,motorcycle ,Metropolitian ,0.12727922061357083,20,2,220
22,4.8,Windy,Low ,scooter ,Metropolitian ,0.11313708498985524,22,0,75
38,4.4,Windy,Medium ,motorcycle ,Metropolitian ,0.09899494936612209,17,3,165
39,4.9,Fog,Jam ,motorcycle ,Metropolitian ,0.07071067811865325,19,3,150
24,4.9,Stormy,Medium ,scooter ,Metropolitian ,0.07071067811865325,18,0,110
30,4.1,Fog,Low ,motorcycle ,Metropolitian ,0.09899494936611666,23,0,215
35,4.8,Fog,Medium ,motorcycle ,Metropolitian ,0.12727922061358088,17,4,240
33,4.5,Stormy,Low ,van,Metropolitian ,0.12727922061358088,23,4,95
39,4.7,Windy,Medium ,motorcycle ,Urban ,0.09899494936612209,18,0,105
31,4.3,Windy,Jam ,motorcycle ,Metropolitian ,0.1131370849898477,21,4,220
37,4.5,Windy,Low ,scooter ,Metropolitian ,0.014142135623734417,8,3,130
37,4.7,Windy,Low ,scooter ,Metropolitian ,0.0424264068711932,22,4,26
33,5.0,Windy,High ,motorcycle ,Metropolitian ,0.014142135623723113,11,5,155
24,4.6,Stormy,Low ,scooter ,Urban ,0.08485281374238571,23,0,19
33,4.5,Sunny,Jam ,scooter ,Metropolitian ,0.1131370849898477,19,2,90
39,4.7,Fog,Medium ,motorcycle ,Metropolitian ,0.09899494936612209,18,2,190
37,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,0.12727922061358088,18,1,160
25,4.9,Sandstorms,Low ,scooter ,Metropolitian ,0.07071067811865074,22,0,85
28,4.8,Fog,Medium ,scooter ,Urban ,0.0848528137423864,19,3,55
38,4.7,Windy,High ,motorcycle ,Metropolitian ,0.056568542494928875,13,2,155
31,4.6,Windy,Medium ,motorcycle ,Metropolitian ,0.0848528137423864,17,5,125
25,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,0.0848528137423864,19,1,110
35,4.9,Fog,Jam ,motorcycle ,Metropolitian ,0.09899494936611203,21,2,215
39,4.7,Fog,Jam ,motorcycle ,Metropolitian ,0.09899494936612209,19,3,210
38,3.9,Stormy,Jam ,motorcycle ,Metropolitian ,0.1131370849898477,19,6,210
35,4.7,Fog,Jam ,motorcycle ,Metropolitian ,0.0424264068711932,21,0,170
29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,0.028284271247461298,9,1,85
27,4.6,Stormy,Jam ,scooter ,Metropolitian ,0.04242640687119446,20,3,125
38,4.3,Sandstorms,Jam ,motorcycle ,Semi-Urban ,0.12727922061358088,21,0,270
36,4.9,Windy,Low ,motorcycle ,Metropolitian ,0.09899494936612209,23,2,105
26,4.0,Cloudy,High ,motorcycle ,Metropolitian ,0.05656854249492762,15,4,170
26,4.1,Fog,Jam ,motorcycle ,Metropolitian ,0.12727922061357083,19,5,180
36,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,0.08485281374238766,17,1,85
21,4.7,Sunny,Low ,motorcycle ,Metropolitian ,0.014142135623735673,9,3,80
35,4.7,Sunny,Jam ,van,Metropolitian ,0.11313708498984645,20,2,135
20,4.5,Fog,High ,motorcycle ,Metropolitian ,0.05656854249491757,12,3,130
23,4.6,Fog,Jam ,motorcycle ,Metropolitian ,0.12727922061358088,21,3,230
37,5.0,Sunny,Jam ,motorcycle ,Metropolitian ,0.0848528137423864,19,3,145
26,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.0848528137423864,19,2,115
29,5.0,Sandstorms,Low ,scooter ,Urban ,0.11313708498984519,22,6,55
26,4.9,Stormy,Medium ,motorcycle ,Metropolitian ,0.15556349186103965,17,4,140
29,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,0.0848528137423864,19,4,125
29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,0.028284271247468833,10,3,55
21,4.9,Windy,Medium ,scooter ,Metropolitian ,0.04242640687119446,18,1,130
22,4.3,Stormy,Low ,motorcycle ,Metropolitian ,0.028284271247468833,10,0,115
31,4.0,Fog,Medium ,motorcycle ,Metropolitian ,0.1131370849898477,17,4,195
20,4.5,Fog,Low ,motorcycle ,Other,0.028284271247458786,8,6,55
30,3.9,Stormy,Jam ,van,Metropolitian ,0.11313708498984519,19,2,160
36,4.8,Fog,Medium ,motorcycle ,Metropolitian ,0.09899494936612209,17,6,215
24,4.7,Fog,Medium ,scooter ,Metropolitian ,0.05656854249491757,15,5,65
32,4.7,Windy,Low ,van,Metropolitian ,0.014142135623734417,9,0,125
25,5.0,Windy,Medium ,motorcycle ,Metropolitian ,0.08485352085211582,18,5,135
27,4.5,Windy,Medium ,scooter ,Metropolitian ,0.05656854249491757,15,0,145
32,4.1,Sandstorms,Medium ,motorcycle ,Metropolitian ,0.09899494936611203,18,1,165
23,4.7,Fog,Medium ,motorcycle ,Urban ,0.05656854249491883,16,3,19
39,4.4,Sunny,Medium ,motorcycle ,Metropolitian ,0.1838477631084997,18,1,165
20,4.8,Fog,Jam ,motorcycle ,Metropolitian ,0.08485281374238571,19,0,140
20,4.8,Windy,Medium ,van,Other,0.11313708498984519,18,4,75
29,4.6,Stormy,Jam ,scooter ,Metropolitian ,0.04242640687119446,20,1,145
26,4.9,Stormy,Low ,scooter ,Metropolitian ,0.1979898987322341,22,1,90
25,5.0,Stormy,Low ,motorcycle ,Metropolitian ,0.014142135623734417,10,6,70
34,4.7,Windy,Medium ,motorcycle ,Metropolitian ,0.05656854249491757,16,6,150
31,4.9,Sunny,High ,motorcycle ,Metropolitian ,0.05656854249492762,14,6,140
24,4.7,Fog,Jam ,motorcycle ,Metropolitian ,0.18384776310850237,20,2,195
30,4.9,Cloudy,Medium ,motorcycle ,Metropolitian ,0.12727922061357083,19,5,150
36,4.8,Sandstorms,Medium ,motorcycle ,Metropolitian ,0.18384776310850096,18,6,180
36,4.4,Fog,Low ,motorcycle ,Metropolitian ,0.1979898987322341,23,1,185
26,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,0.1979898987322341,19,4,215
30,4.6,Sunny,Low ,scooter ,Other,0.15556349186103965,23,6,145
20,4.8,Stormy,Medium ,scooter ,Metropolitian ,0.042426406871192854,18,4,125
33,4.7,Fog,Medium ,van,Urban ,0.07071067811865325,18,2,75
34,4.0,Windy,Jam ,motorcycle ,Metropolitian ,0.12727922061358088,21,5,195
36,4.6,Windy,Low ,motorcycle ,Metropolitian ,0.1131370849898477,23,0,100
33,4.6,Fog,Low ,motorcycle ,Metropolitian ,0.028284271247461298,11,4,75
22,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,0.15556349186103965,22,4,80
38,4.7,Sunny,Low ,scooter ,Metropolitian ,0.014142135623733162,11,5,95
27,4.9,Fog,Low ,scooter ,Metropolitian ,0.11313708498984645,23,2,100
32,4.8,Sunny,Jam ,scooter ,Metropolitian ,0.09899494936611203,21,0,125
26,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,0.11313708498984645,19,6,215
29,4.5,Windy,Low ,motorcycle ,Urban ,0.1838477631085085,22,4,75
31,4.5,Sunny,Jam ,motorcycle ,Urban ,0.11313708498984645,20,2,145
28,4.6,Stormy,High ,motorcycle ,Metropolitian ,0.05656854249493013,12,5,70
21,4.8,Sunny,Medium ,motorcycle ,Metropolitian ,0.0848528137423864,18,4,55
21,4.0,Sandstorms,Low ,motorcycle ,Metropolitian ,0.07071067811865199,22,0,95
30,4.9,Windy,Low ,motorcycle ,Metropolitian ,0.1131370849898476,23,4,145
29,4.7,Cloudy,Medium ,motorcycle ,Urban ,0.05656854249492762,15,4,55
20,4.8,Sunny,High ,motorcycle ,Metropolitian ,0.014142135623725625,11,0,70
28,5.0,Windy,Low ,motorcycle ,Urban ,0.12727922061358088,22,2,75
25,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,0.09899494936611203,23,2,16
38,4.8,Stormy,Low ,motorcycle ,Metropolitian ,0.028284271247468833,10,0,100
39,4.9,Stormy,Low ,motorcycle ,Metropolitian ,0.042426406871191945,22,3,130
26,4.9,Windy,Medium ,scooter ,Metropolitian ,0.08485281374238891,17,6,130
33,4.4,Windy,Jam ,motorcycle ,Urban ,0.09899494936612209,21,0,215
24,4.6,Sandstorms,Medium ,motorcycle ,Urban ,0.08485281374237635,18,1,125
24,4.9,Fog,Medium ,motorcycle ,Metropolitian ,0.05656854249491883,15,0,140
33,4.5,Stormy,Low ,scooter ,Metropolitian ,0.12727922061358088,22,3,85
35,4.2,Windy,Jam ,motorcycle ,Metropolitian ,0.12727922061358088,19,6,220
27,4.2,Stormy,Jam ,motorcycle ,Metropolitian ,0.12727922061358088,20,2,165
29,4.5,Sunny,Medium ,motorcycle ,Metropolitian ,0.0424264068711932,18,6,75
34,4.7,Fog,Low ,scooter ,Metropolitian ,0.18384776310850096,23,5,135
20,4.7,Cloudy,High ,scooter ,Metropolitian ,0.028284271247468833,11,4,25
29,4.8,Sunny,High ,motorcycle ,Metropolitian ,0.05656854249491757,13,1,90
22,4.9,Stormy,Medium ,scooter ,Metropolitian ,0.0848528137423864,18,1,105
35,4.9,Cloudy,Jam ,motorcycle ,Metropolitian ,0.09899494936612209,21,4,53
32,4.4,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.1555634918610409,21,5,210
28,4.9,Sunny,Jam ,motorcycle ,Metropolitian ,0.15556349186103965,21,0,100
30,4.7,Fog,Low ,scooter ,Metropolitian ,0.18384776310849843,22,2,145
22,4.7,Stormy,Jam ,scooter ,Urban ,0.1555634918610409,20,0,75
36,4.7,Fog,Medium ,motorcycle ,Metropolitian ,0.07071067811865199,18,2,150
23,4.8,Windy,Jam ,motorcycle ,Metropolitian ,0.18384776310849843,20,5,28
22,4.8,Stormy,Low ,motorcycle ,Other,0.028284271247458786,10,4,19
29,4.5,Sandstorms,Low ,motorcycle ,Metropolitian ,0.1838477631085085,22,4,75
34,4.9,Sandstorms,Jam ,motorcycle ,Urban ,0.15556349186103965,21,2,250
38,4.1,Stormy,High ,motorcycle ,Metropolitian ,0.014142135623724367,11,5,205
35,5.0,Fog,Medium ,motorcycle ,Metropolitian ,0.09899494936611666,17,6,185
38,4.7,Cloudy,Jam ,scooter ,Metropolitian ,0.08485281374238571,21,5,140
32,4.3,Cloudy,Medium ,scooter ,Metropolitian ,0.09899494936612209,18,2,175
20,4.5,Windy,Jam ,motorcycle ,Metropolitian ,0.09899494936611203,20,2,135
25,4.9,Fog,Jam ,motorcycle ,Metropolitian ,0.11313708498984645,21,2,215
29,4.5,Fog,Low ,scooter ,Other,0.08485281374238891,22,1,60
32,4.7,Sandstorms,Jam ,scooter ,Metropolitian ,54.39024909417731,20,6,155
39,4.1,Cloudy,Jam ,motorcycle ,Metropolitian ,0.18384776310850237,21,0,195
31,4.4,Stormy,Jam ,motorcycle ,Urban ,0.15556349186103965,21,6,235
37,4.5,Fog,Low ,motorcycle ,Urban ,0.07071067811865325,23,4,130
36,4.9,Cloudy,Medium ,van,Metropolitian ,0.12727922061358088,17,4,155
37,3.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.1979898987322341,20,0,210
38,4.9,Cloudy,High ,scooter ,Metropolitian ,0.05656854249491757,13,2,125
37,4.4,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.1131370849898477,22,4,195
21,4.9,Fog,Low ,scooter ,Other,0.12727922061358088,23,6,105
35,4.9,Fog,Medium ,van,Metropolitian ,0.042426406871191945,18,5,90
22,4.8,Sandstorms,Jam ,scooter ,Urban ,0.12727922061357083,20,1,110
28,4.8,Fog,Low ,motorcycle ,Metropolitian ,0.028284271247468833,8,1,115
39,4.0,Stormy,Medium ,motorcycle ,Metropolitian ,0.18384776310850975,17,4,240
29,4.5,Windy,Low ,scooter ,Urban ,0.11313708498984645,22,3,65
39,4.6,Sandstorms,High ,motorcycle ,Metropolitian ,0.028284271247468833,11,2,160
25,4.9,Sandstorms,Jam ,van,Urban ,0.18384776310849843,21,6,80
34,5.0,Cloudy,Medium ,van,Urban ,0.0424264068711932,17,5,95
22,4.8,Sunny,Low ,motorcycle ,Metropolitian ,0.028284271247468833,9,5,90
27,5.0,Windy,Jam ,motorcycle ,Metropolitian ,0.09899494936611203,20,2,135
28,4.5,Sunny,Medium ,motorcycle ,Urban ,0.09899494936611203,17,5,125
32,5.0,Stormy,Medium ,scooter ,Metropolitian ,0.04242640687119446,18,1,155
27,4.6,Sunny,Medium ,motorcycle ,Metropolitian ,0.09899494936612209,17,2,100
35,3.9,Windy,Jam ,motorcycle ,Metropolitian ,0.1131370849898477,19,1,190
22,4.6,Windy,Low ,motorcycle ,Metropolitian ,0.0424264068711932,23,5,95
35,4.7,Sunny,Jam ,van,Metropolitian ,0.042426406871192854,21,3,85
30,4.6,Cloudy,Low ,motorcycle ,Urban ,0.014142135623725625,10,6,120
39,4.8,Fog,High ,scooter ,Urban ,0.028284271247458786,11,6,130
33,4.8,Sandstorms,Medium ,motorcycle ,Metropolitian ,0.0848528137423864,18,6,140
20,4.7,Sandstorms,Medium ,scooter ,Urban ,0.1131370849898477,17,2,80
20,4.7,Fog,Medium ,motorcycle ,Urban ,0.042426406871192854,18,1,85
34,4.2,Windy,Low ,motorcycle ,Urban ,0.0848528137423864,23,6,120
22,4.7,Windy,Medium ,motorcycle ,Metropolitian ,0.09899494936612209,17,1,120
37,4.3,Stormy,High ,scooter ,Metropolitian ,0.028284271247461298,11,1,170
20,4.8,Cloudy,Low ,motorcycle ,Urban ,0.014142135623725625,9,2,80
33,4.9,Windy,Low ,motorcycle ,Metropolitian ,0.07071067811865325,22,1,130
21,5.0,Fog,Medium ,motorcycle ,Metropolitian ,0.18384776310850096,17,5,125
33,4.6,Fog,Medium ,motorcycle ,Metropolitian ,0.09899494936612209,17,3,245
24,4.6,Windy,Medium ,van,Urban ,0.11313708498984645,18,2,24
36,4.7,Sandstorms,High ,scooter ,Metropolitian ,0.0282842712474619,11,6,160
30,4.6,Sunny,Medium ,motorcycle ,Metropolitian ,0.0424256997703052,19,0,26
32,4.9,Sandstorms,Low ,scooter ,Metropolitian ,0.12727922061358088,23,4,120
28,4.6,Stormy,Jam ,van,Metropolitian ,0.1838477631085085,19,3,80
